section_name,objectid,section_number,section_title,article_name,article_number,article_title,article_text
Section I,s1_a01,1,First Position,Article I,01,Posture and Instrument Hold,"The following information assumes that you will use an endpin. In recent times, it is almost universally used to support the cello on the floor while playing, and has changed the playing posture somewhat. 
The player sits towards the front of the chair, takes the cello by the neck using the left hand, and fixes it with the endpin so that it stands vertically between the feet. He then turns the cello a little to the right and angles it with the scroll towards him, so that its right side leans slightly against the chest. The left side leans against the bend of the player's left knee. In this way, the cello has three points of support: the endpin on the floor, the right side of the instrument on the chest, and the left side on the player's knee."
Section I,s1_a02,1,First Position,Article II,02,Bow Hold,"The right hand holds the stick of the bow between the thumb and the other four fingers. The tip of the thumb sits in the corner of the frog and the stick. Opposite it—but a little more to the right—is the middle finger, with its tip lightly touching the hair on the ferrule. The ring finger and little finger lie naturally on the frog next to the middle finger. The index finger touches the stick of the bow at the crease of the upper joint, slightly away from the middle finger. Tone production depends on the index finger exerting pressure on the stick. Therefore, the position of the finger changes. It comes to rest on the stick up to the crease of the second joint, and accordingly moves away from the middle finger.

Tuning the Cello
The cello has four strings, which are tuned in ascending fifths from low C.

The lower pitches are notated in bass clef, the higher pitches in the tenor or treble clef. Tuning the strings accurately has its difficulties for the beginner, therefore it is advisable to leave it to the teacher."
Section I,s1_a03,1,First Position,Article III,03,Placing the Bow on the String and Guiding the Bow,"The part of the string above the body of the instrument (i.e., between the bridge and the end of the fingerboard) is intended for bowing. Depending on where you bow—closer to the fingerboard or closer to the bridge—you can achieve a swelling in the tone, a decreasing of the tone, and the different shadings in the tone that are necessary for expressive playing.
The beginner will not be able to use these means of expression for the time being, and should endeavor only to produce a tone that is consistently even in strength. He achieves this by keeping the bow consistently on only one contact point. This contact point is about four centimeters from the bridge. The player tries to keep the bow parallel to the bridge on the contact point. This is the most difficult thing about bowing because it requires the combined movements of the upper arm and forearm, but mainly wrist movements.
If you take the bow in your hand according to the previous instructions, place the bow-hair on the string at the frog, and move it from the frog to the tip (a “down-bow,” notated as ˄ above the note) with immobile forearm joints, the bow's trajectory would be curved. The closer you go towards the tip, the more the bow moves with its tip downwards, i.e. towards the bridge. Conversely, if you pull the bow from the tip to the frog (an “up-bow,” notated as ˅ above the note), the tip of the bow travels towards the fingerboard. Therefore, the bow continually shifts its contact point with the string and doesn't go parallel to the bridge. This would not meet the conditions required for uniform tone production. 
The movement of the bow is regulated by the wrist; namely, if one bends the hand to the left, the tip of the bow goes upwards towards the fingerboard. This movement of the hand is therefore used to raise the tip. 

Conversely, by bending the hand to the right, the upwards stroke is directed downwards again. Therefore, when bowing at the frog, the hand position must be bent more to the right1 in order to be able to bend to the left while pulling the bow on a down-bow stroke. Conversely, when the bow is at the tip, the position of the hand is bent to the left2 in order to be able to move to the right during the up-bow stroke.
The upper arm, which must not be held too high, does not move until the bow is drawn into the middle of the stick. Only at the frog and tip, where forearm movement alone is no longer sufficient, does the upper arm take part in guiding the bow. The main movement is done by the forearm, which guides the bow on the string; here, as noted earlier, the wrist regulates the direction. In small movements of the bow on the string, the forearm is also almost immobile, and the wrist alone is active. It also serves to cross from one string to another with the bow. By turning the hand slightly to the right, the bow goes from the higher to the lower string. Conversely, turning the hand to the left causes the bow to transition from the lower to the higher string. (A distinction is made between bending to the right and turning to the right: in the first case, the hand keeps the same horizontal surface, and in the second case, the surface is lowered to the right.)
[“Erste Uebungen zum Anstreichen der leeren Saiten mit ganzem Bogen” = “First Exercises in Drawing the Full Bow on the Open Strings”]"
Section I,s1_a04,1,First Position,Article IV,04,Position of the Left Hand and Fingers,"The left thumb rests against the neck of the cello. It does not encircle it, but rather touches it at a point near the nail. The way the player holds the neck of the cello depends on the proportions of the hand and on the ratio of thumb length to the lengths of the other fingers: the shorter the thumb, the less it should encircle the neck. The hand must be slightly curved over the strings in such a way that the thumb is between the index and middle fingers. The contact point of the fingers on the strings must not be too close to the nail. Finger action, as well as finger pressure on the strings, must be as forceful as possible, since as we shall see later, tone production partly depends upon it.
Naming and Labeling of the Fingers
The thumb is labeled ϙ
The ring finger is labeled 3
The index finger is labeled 1
The little finger is labeled 4
The middle finger is labeled 2
The numeral 0 is used for the open string"
Section I,s1_a05,1,First Position,Article V,05,First Position,"The player places the first (index) finger on the A-string about 65 millimeters from the nut, presses down firmly, and plays the note against the open D-string. He then adjusts the pitch up and down with the first finger until the interval (a major sixth) is in tune.
Then, he puts his second (middle) finger on the string next to the first with a small space between them. He rests the thumb on the neck of the cello opposite the first two fingers. Then he puts the third and fourth fingers on the string next to the second with a small space between each. The note created with the fourth finger is an octave above the pitch of the open D-string and can easily be adjusted by playing both strings at the same time. This hand position is called first position. All the exercises and examples in this section are in this position.
Above all, the player must take care to learn this position thoroughly, primarily to be able to find it without testing the first and fourth fingers in the way mentioned above. By placing the hand and fingers in the same spots on the other strings, you get first position on the D-, G-, and C-strings. The following notes can be created by placing the four fingers on all four strings: 

[“Auf der A-Saite” = “on the A-string,” “Auf der D-Saite = “on the D-string,” “Auf der G-Saite = “on the G-string,” “Auf der C-Saite” = “on the C-string.”]



In the following short examples, containing the accompaniment of a second cello, the first finger stays on the string all the time. The first finger and thumb remain in place; the other fingers are only lifted to allow for a lower-pitched note.
[First example] 
“Auf der A-Saite” = “On the A-string”
“Begleitung” = “Accompaniment”
“Der erste Finger liegt die ganze Zeit auf der Saite; der zweite wird erst beim vierten Tact aufgehoben” = “The first finger stays on the string throughout; the second is not lifted until measure 4.”
[Second example] 
“Auf der D-Saite” = “On the D-string”
“Begleitung” = “Accompaniment”
“Der erste Finger liegt die ganze Zeit auf der Saite; der dritte wird erst beim fünften Tact aufgehoben” = “The first finger stays on the string throughout; the third is not lifted until measure 5.”
[Third example] 
“Auf der G-Saite” = “On the G-string”
“Begleitung” = “Accompaniment”
“Der erste Finger liegt die ganze Zeit auf der Saite; der zweite und dritte Finger liegen die ersten drei Tacte auch auf der Saite und warden blos beim vierten aufgehoben” = “The first finger stays on the string throughout; the second and third fingers also stay on the string for the first three bars and are only lifted at measure 4.”
[Fourth example] 
“Auf der C-Saite” = “On the C-string”
“Begleitung” = “Accompaniment”
“Der erste Finger liegt die ganze Zeit auf der Saite: der zweite und dritte Finger liegen die ersten drei Tacte ebenfalls auf der Saite und warden erst beim vierten Tact aufgehoben” = “The first finger stays on the string throughout; the second and third fingers also stay on the string for the first three bars and are only lifted at measure 4.”


The following examples use the open strings in addition to four fingers. The first finger cannot always stay on the string, and thereby loses its “double hold” position with the thumb; the player's thumb alone must keep the position in place. In general, it is the thumb that keeps the fixed position on the neck of the cello, since the first finger (as we will soon see) can also change its place within the position.
[5. “Auf der A-Saite” = “On the A-string”
“Begleitung” = “Accompaniment”
6. “Auf der D-Saite” = “On the D-string”
“Begleitung” = “Accompaniment”
7. “Auf der G-Saite” = “On the G-string”
“Begleitung” = “Accompaniment”]



[“Auf der C-Saite” = “On the C-string”
“Begleitung” = “Accompaniment”]"
Section I,s1_a06,1,First Position,Article VI,06,Different Strokes,"The examples given above should be played using the whole bow. However, the entire length of the bow is not always used. It can also be used partially, and one can generally assume that the length of the stroke is in proportion to the duration of the note value. Whole notes require more bow length than half notes and quarter notes, etc. We therefore differentiate between whole bows, half bows, and short bowstrokes. If only part of the bow is used, as in the case of short bowstrokes, this part can either be near the frog, near the tip, or in the middle of the bow. For half bows, you can either use the half of the bow from frog to middle, or the half from the middle to the tip. In this way, we get six different types of strokes.
[1. “Ganzer Strich” = “Whole bows.” 2. “Halper Strich (a) von dem Frosch bis zur Mitte” (b) von der Mitte bis zur Spitze.” = “Half bow (a) from the frog to the middle (b) from the middle to the tip.”]
[“A-Saite” = “A-string”; “D-Saite” = “D-string”; “G-Saite” = “G-string”; “C-Saite” = “C-string”]

[3. “Kurzer Strich (a) in der Nähe des Frosches (b) in der Nähe der Spitze (c) in der Mitte” = “Short stroke (a) near the frog (b) near the tip (c) in the middle of the bow.”]
[“Wenn der Strich sehr kurz ist, wie z. B. bei Achtel-Noten im schnellen Tempo, so wird er ausschliesslich durch Handbewegung bei unbeweglichem Ober- und Unterarm ausgeführt” = “If the stroke is very short, such as in the case of eighth notes at a fast tempo, it is performed exclusively with hand movement, with the upper arm and forearm immobile.”]



The following exercises and examples are designed to familiarize the player with all possible combinations of fingers in the first position on the four strings. The half notes should be executed in a slow tempo with the whole bow, and at a faster tempo with half bows. In the latter case, they should be practiced alternatively from the frog to the middle of the bow, and from the middle to the tip of the bow. The quarter notes should be executed at a slow tempo with half-bow strokes and in a faster tempo with short strokes; in the latter case, the three parts of the bow mentioned above should be used. 
Exercises with Whole or Half Bows
In the second case, alternatively from the frog to the middle of the bow, and from the middle to the tip of the bow.
[“A-Saite” = “A-string”; “D-Saite” = “D-string”; “G-Saite” = “G-string”; “C-Saite” = “C-string”]






Examples of Short Bowstrokes
Play alternately at the frog, the tip, and the middle
[“Begleitung” = “Accompaniment”]"
Section I,s1_a07,1,First Position,Article VII,07,Bow Speed,"If all notes are of the same duration, as in the previous exercises and examples, then the movements of the bow—whether using the full bow, half the bow, or a short bowstroke—will be the same. But if there are notes of unequal duration, or alternating long and short strokes, one will often run into trouble if the bow is guided at the same speed. In the following two-measure example, the third note, which lasts a full measure, would require the whole length of the bow. The second note, however, brings the bow at most to the middle, since as it is a quarter note it is played with a short up-bow stroke.



In this example, the first note could begin at the tip of the bow, otherwise the first stroke would go at most to the middle of the bow. In order to bring the bow to the desired place (in the first example to the frog, in the second to the tip), it has to be pulled faster. In some cases, notes of shorter duration must be played with a long bowstroke by pulling it faster. We say in some cases, because in a sequence of long and short notes the latter do not always require a faster bow. In the next example, the fourth note also requires the entire length of the bow and must begin at the tip; the bow is already close to the tip since the two short notes are executed beforehand with a short or half-bow stroke at the tip.

If we wanted to make a rule in all these cases, it would have to be as follows: if an odd number of short note values precedes a long note value, the last of the short note values must be played with a faster bow.

The following exercises contain the most common combinations of notes of unequal duration. The notes that require faster bowing are marked with an “NB” at the top; the player will be able to best convince himself of the correctness of the given rules. The exercises are written for the A- and C-strings, but should also be studied on the D- and G-strings. The long notes (half note, dotted half note) should be practiced at first with the whole bow, the quarter notes with half the bow. The player should then study the same exercises, playing the half notes with half bows and the quarter notes with short bowstrokes. First, draw the half-bow from the frog to the middle (with the quarter notes alternately at the frog and in the middle). Then, draw a half-bow from the middle of the bow to the tip (with the quarter notes alternately at the middle and at the tip). The eighth notes are always played with short bowstrokes, either at the frog, near the tip, or in the middle.






[“Beispiel mit leerer Saite” = “Example on an open string”]


[“Beispiel in der ersten Position” = “Example in first position”]

p.10"
Section I,s1_a08,1,First Position,Article VIII,08,Transition of the Bow from One String to Another,"The Wrist
Crossing from one string to another is done, as mentioned earlier, by turning the hand slightly: movement to the right brings the bow from a higher to a lower string; conversely, a turn to the left serves to transition from a lower to a higher string. The distances between the strings are so relatively small that given the right bow pressure, just a small turn of the hand is enough to bring the bow from one string to the other. While this is of great importance to an experienced player, it presents many difficulties for a beginner, who does not have control of the bow and can easily and inadvertently bump into other strings. For example, the beginner will find it difficult to play on the D- and G-strings, since they both have other strings to the right and left. This does not give the bow movement much leeway. On the A- and C-strings, the bow at least has more freedom to one side, meaning that it is much easier to play on these strings.
When studying the following exercises and examples, the player should try to make turning the hand as easy and casual as possible and avoid any stiffness of the wrist.
Note: The execution of similar figures, especially at a fast pace, is a special case about which I would like to add a few words here, since to my knowledge it has not yet been adequately explained.
Every player knows that figures like this (a) are easy to play if they begin on an up-bow, but uncomfortable on a down-bow.

Figures like (b) are easy to begin on a down-bow and uncomfortable on an up-bow.

The reason for both lies in what we have already observed about bending and turning the hand. For a short bowstroke, the bow is guided almost exclusively by the wrist: the down-bow by a turn of the hand to the right, the up-bow through a left turn. At the same time, a string crossing occurs by turning the hand: to the right for crossing from a higher to a lower string, and to the left for crossing from a lower to a higher string. If both movements happen in one direction, then the hand can easily execute them; conversely, if the hand has to bend in opposing directions, it is of course uncomfortable. The hand has to perform these opposing movements in figure (a) if it starts on a down-bow and in figure (b) if it starts on an up-bow. With (a), the hand bends to the right on the down-bow, but at the same time it has to open for the crossing to the higher string, and vice versa at (b).
[“Uebungen auf 2 Saiten” = “Exercises on 2 Strings”]


p. 11 


[“Uebungen auf 3 Saiten” = “Exercises on 3 Strings”]


p.12 
Example for 2 Strings
[Begleitung = accompaniment]

NB In cases when you have to play a melodic perfect fifth with one finger, it is a good idea to put the finger over both strings at once. Try to align it so that it is parallel to the bridge and the nut. 

Example for 3 Strings
[“Begleitung” = “accompaniment”]

Preparation for Scales
[C-dur = C major; G-dur = G major; F-dur = F major]



p.13"
Section I,s1_a09,1,First Position,Article IX,09,String Crossings on Notes of Unequal Duration,"The following exercises and examples study string crossings on unequal note values. The player must account for the whole-bow, half-bow, and short strokes, and also for the bow speed rules. The “NB” above notes requiring a fast bow-speed is now omitted; the player himself can figure out which notes require it according to the rules. It is a good idea to look through every example before playing and to write “NB” in the relevant places.

p. 14
[“2 Beispiele für Saitenübergang” = “2 Examples of String Crossing”
“mit Noten von ungleicher Dauer” = “on notes of unequal duration”]
[“Begleitung” = “accompaniment”]
 

p. 15"
Section I,s1_a10,1,First Position,Article X,10,Connection of Several Notes Within a Bow (Slurs),"The connection of several notes on a bow, the so-called slur, should not really add anything new to the rules for bowing. Each slur or group of notes with the sign 

means, more or less, a long, held note. All combinations of slurred and unslurred notes fall into the simple bowing patterns that the player will recognize from Article VII. We have illustrated this in the following exercises showing the upper line in small note values.
And yet, the beginner, who can play with a melodious tone in familiar passages, forfeits much of it as soon as he has to perform faster figures. A figure such as this:

requires nothing more from the bow than this: 

In reality, however, the player will make a less-good tone in the first example.
We could explain this—leaving aside for now the changes in tone caused by the pressure of the left-hand fingers on the strings—by stating the fact that in the first figure, the player will be focusing their attention almost exclusively on the left hand at the expense of the right. I have often observed on students that their bow's contact point, bow direction, and ability to regulate cantilena stop working as soon as the left hand has to perform anything fast. The bow usually moves closer to the fingerboard, and because of this the strength of the tone decreases. The direction of the bow also becomes less controlled; often, it moves laterally from the fingerboard to the bridge and vice versa. This creates a number of extraneous noises, such as a hissing sound, which affects the quality of tone not a little. It is therefore not enough just to advise the learner that sound is one of the most difficult tasks of cello playing.


[“Uebungen für gebundene Noten auf einer Saite” = “Exercises in Slurs on One String”]


p. 16

[“Uebungen mid abwechselnd gebundenen und nicht gebundenen Noten” = “Exercises with Alternating Slurred and Separate Bows”]

[“Anmerk: Die kleinen Noten veranschaulichen die Rolle des Bogens” = “Note: the notes in small type indicate the distribution of the bow.”]

p. 17
The following examples are only notated on one string, but the learner should perform them on the other three strings too. 
etc

p. 18
[“1 Beispiele für legato auf einer Saite” = “2 Examples of Slurs on One String”]
[“Begleitung” = “Accompaniment”]


p. 19
[“Uebungen für Saitenübergang beim legato” = “Exercises for String Crossing in Slurs”]
[“(Auszuführen abwechselnd mit halbem und kurzem Striche und zwar in den 3 früher genannten Theilen des Bogens.)” = “(Execute alternately in half bows and short bowstrokes in the three parts of the bow mentioned previously.)”]


[“Uebungen für Saitenübergang beim legato, mit verschiedenen Stricharten” = “Exercises for String Crossings in Slurs, with Different Types of Strokes”]
[“(Auszuführen auch für die Saiten G, D, und C, G, mit Beobachtung der aufgestellten Regeln für die Schnelligkeit beim Führen des Bogens” = “(Can also be played on the G- and D-strings and on the C- and G-strings, following the established rules for bow speed.)”]


[“Uebungen für Saitenübergang bei Verbindungen von gebundenen mit nich gebundenen Noten” = “Exercises for String Crossing in Combinations of Slurred and Separate Bows.”]
[“Auszuführen auch für die Saiten G, D und C, G” = “(Can also be played on the G- and D-strings and on the C- and G-strings.)”]

p. 20

[“Beispiel für legato mit Saitenübergang” = “Example for Slurs in String Crossings”]

[“2 Beispiele für legato in Verbindung mit ungebundenen Noten bei Saitenübergang” = “2 Examples for Connecting Slurs and Separate Bows in String Crossings”

[“Anmerk. Der Spieler notire vor dem Spielen der zwei folgenden Beispiele, den früheren Angaben gemäss, die NB über die Noten, die eine beschlennigte Bogenführung verlangen” = “Note: Before playing these two examples, the player should write “NB” according to the previous instructions on notes that require a faster bow.”]
p. 21
[“Begleitung” = “Accompaniment”]


[“Die C, G, und F-dur Tonleiter mit gebundenen Noten” = “C, G, and F Major Scales in Slurs”]
[“(Zu spielen erst jeden Tact einen Bogen, dann alle 2 Tacte einen Bogen, schliesslich einen Bogen auf 4 Tacte” = “(First, play one bow to a bar, then one bow for two bars, and finally one bow for four bars.)”]


p. 22
Slurs over 3 and 4 Strings
The following groups of notes and slur marks are intended for studying slurring over three and four strings. Exercises (A) and (B), notated for the A-, D-, and G-strings, should be played in a corresponding manner on the D-, G-, and C-strings. The exercises with doubled numbers indicate that these bowings should be practiced alternately on down- and up-bows.
The inconvenience mentioned in Article VIII occurs here to an even greater extent in string crossings over 3 and 4 strings. There are types of bowstrokes that cannot be executed on the down-bow. Others cannot be executed on an up-bow, especially at a fast speed (for example, figure 5 of exercise A on a down-bow).
[“Auf 3 Saiten” = “On 3 Strings”; “Auf 4 Saiten” = “On 4 Strings”]
[“Uebungen” = “Exercises”]
[“Im 4/4 Tact” = “In common time”]
[“Im 3/4 Tact” = “In triple time”]
[“Strichart” = “Bowstroke”]

p. 23
[“Beispiel für gebundene Noten auf 3 Saiten” = “Example of Slurred Notes over 3 Strings”

p. 24"
